state_abbr,state,fips,county,lat,lon
CO,Colorado,08047,Gilpin County,39.861156,-105.528878
CO,Colorado,08049,Grand County,40.113065,-106.110837
CO,Colorado,08051,Gunnison County,38.670499,-107.05688
CO,Colorado,08053,Hinsdale County,37.811519,-107.383974
CO,Colorado,08055,Huerfano County,37.687815,-104.959928
CO,Colorado,08057,Jackson County,40.663432,-106.329248
CO,Colorado,08059,Jefferson County,39.579511,-105.245462
CO,Colorado,08061,Kiowa County,38.387663,-102.756849
CO,Colorado,08063,Kit Carson County,39.30534,-102.603023
CO,Colorado,08065,Lake County,39.205341,-106.350079
CO,Colorado,08067,La Plata County,37.287367,-107.839718
CO,Colorado,08069,Larimer County,40.658093,-105.486764
CO,Colorado,08071,Las Animas County,37.318831,-104.04411
CO,Colorado,08073,Lincoln County,38.99374,-103.507555
CO,Colorado,08075,Logan County,40.728091,-103.090464
CO,Colorado,08077,Mesa County,39.019524,-108.460571
CO,Colorado,08079,Mineral County,37.549067,-107.003236
CO,Colorado,08081,Moffat County,40.610864,-108.217154
CO,Colorado,08083,Montezuma County,37.338025,-108.595786
CO,Colorado,08085,Montrose County,38.407507,-108.266282
CO,Colorado,08087,Morgan County,40.263159,-103.81221
CO,Colorado,08089,Otero County,37.88417,-103.72126
CO,Colorado,08091,Ouray County,38.154731,-107.78848
CO,Colorado,08093,Park County,39.118914,-105.717648
CO,Colorado,08095,Phillips County,40.594712,-102.345105
CO,Colorado,08097,Pitkin County,39.217541,-106.916162
CO,Colorado,08099,Prowers County,37.958181,-102.392161
CO,Colorado,08101,Pueblo County,38.162765,-104.484668
CO,Colorado,08103,Rio Blanco County,39.972622,-108.200716
CO,Colorado,08105,Rio Grande County,37.485853,-106.453128
CO,Colorado,08107,Routt County,40.483664,-106.987702
CO,Colorado,08109,Saguache County,38.031651,-106.234666
CO,Colorado,08111,San Juan County,37.781049,-107.670257
CO,Colorado,08113,San Miguel County,38.009319,-108.427263
CO,Colorado,08115,Sedgwick County,40.871568,-102.355358
CO,Colorado,08117,Summit County,39.621023,-106.137555
CO,Colorado,08119,Teller County,38.869976,-105.187365
CO,Colorado,08121,Washington County,39.96579,-103.209744
CO,Colorado,08123,Weld County,40.555961,-104.383666
CO,Colorado,08125,Yuma County,40.00077,-102.421649
CT,Connecticut,09001,Fairfield County,,
CT,Connecticut,09003,Hartford County,,
CT,Connecticut,09005,Litchfield County,,
CT,Connecticut,09007,Middlesex County,,
CT,Connecticut,09009,New Haven County,,
CT,Connecticut,09011,New London County,,
CT,Connecticut,09013,Tolland County,,
CT,Connecticut,09015,Windham County,,
DE,Delaware,10001,Kent County,39.097088,-75.502982
DE,Delaware,10003,New Castle County,39.575915,-75.644132
DE,Delaware,10005,Sussex County,38.673227,-75.337024
DC,District of Columbia,11001,District of Columbia,38.904247,-77.016517
FL,Florida,12001,Alachua County,29.67574,-82.357221
FL,Florida,12003,Baker County,30.324442,-82.302284
FL,Florida,12005,Bay County,30.15914,-85.534395
FL,Florida,12007,Bradford County,29.952386,-82.166698
FL,Florida,12009,Brevard County,28.298311,-80.700333
FL,Florida,12011,Broward County,26.193535,-80.476683
FL,Florida,12013,Calhoun County,30.388801,-85.197915
FL,Florida,12015,Charlotte County,26.906396,-82.003657
FL,Florida,12017,Citrus County,28.850292,-82.595552
FL,Florida,12019,Clay County,29.986584,-81.865036
FL,Florida,12021,Collier County,26.118786,-81.400955
FL,Florida,12023,Columbia County,30.221651,-82.623371
FL,Florida,12027,DeSoto County,27.190581,-81.806253
FL,Florida,12029,Dixie County,29.552675,-83.236232
FL,Florida,12031,Duval County,30.335245,-81.648113
FL,Florida,12033,Escambia County,30.529998,-87.320322
FL,Florida,12035,Flagler County,29.474891,-81.286253
FL,Florida,12037,Franklin County,29.677794,-84.815213
FL,Florida,12039,Gadsden County,30.578687,-84.612607
FL,Florida,12041,Gilchrist County,29.723456,-82.795801
FL,Florida,12043,Glades County,26.95481,-81.19082
FL,Florida,12045,Gulf County,29.859238,-85.272013
FL,Florida,12047,Hamilton County,30.498438,-82.951116
FL,Florida,12049,Hardee County,27.492846,-81.82158
FL,Florida,12051,Hendry County,26.539967,-81.152114
FL,Florida,12053,Hernando County,28.555995,-82.525969
FL,Florida,12055,Highlands County,27.34108,-81.342353
FL,Florida,12057,Hillsborough County,27.893154,-82.379991
FL,Florida,12059,Holmes County,30.862007,-85.815939
FL,Florida,12061,Indian River County,27.700528,-80.574789
FL,Florida,12063,Jackson County,30.789249,-85.208814
FL,Florida,12065,Jefferson County,30.396898,-83.921761
FL,Florida,12067,Lafayette County,29.990066,-83.17851
FL,Florida,12069,Lake County,28.764113,-81.712282
FL,Florida,12071,Lee County,26.563273,-81.984182
FL,Florida,12073,Leon County,30.45931,-84.2778
FL,Florida,12075,Levy County,29.271854,-82.831233
FL,Florida,12077,Liberty County,30.259849,-84.86858
FL,Florida,12079,Madison County,30.447233,-83.470416
FL,Florida,12081,Manatee County,27.475556,-82.393144
FL,Florida,12083,Marion County,29.202805,-82.0431
FL,Florida,12085,Martin County,27.083604,-80.398201
FL,Florida,12086,Miami-Dade County,25.616009,-80.50375
FL,Florida,12087,Monroe County,25.58612,-81.022603
FL,Florida,12089,Nassau County,30.605963,-81.765087
FL,Florida,12091,Okaloosa County,30.614325,-86.59108
FL,Florida,12093,Okeechobee County,27.385592,-80.887388
FL,Florida,12095,Orange County,28.514391,-81.323284
FL,Florida,12097,Osceola County,28.059027,-81.139312
FL,Florida,12099,Palm Beach County,26.649126,-80.448354
FL,Florida,12101,Pasco County,28.309823,-82.511006
FL,Florida,12103,Pinellas County,27.905342,-82.798066
FL,Florida,12105,Polk County,27.953685,-81.693493
FL,Florida,12107,Putnam County,29.593896,-81.732039
FL,Florida,12109,St. Johns County,29.890487,-81.40004
FL,Florida,12111,St. Lucie County,27.379814,-80.443536
FL,Florida,12113,Santa Rosa County,30.675348,-87.018919
FL,Florida,12115,Sarasota County,27.225327,-82.423714
FL,Florida,12117,Seminole County,28.690065,-81.131975
FL,Florida,12119,Sumter County,28.713976,-82.069684
FL,Florida,12121,Suwannee County,30.189244,-82.992754
FL,Florida,12123,Taylor County,29.967146,-83.639573
FL,Florida,12125,Union County,30.05428,-82.366918
FL,Florida,12127,Volusia County,29.057769,-81.161792
FL,Florida,12129,Wakulla County,30.091335,-84.359111
FL,Florida,12131,Walton County,30.571247,-86.162798
FL,Florida,12133,Washington County,30.602102,-85.655805
GA,Georgia,13001,Appling County,31.739712,-82.290103
GA,Georgia,13003,Atkinson County,31.296806,-82.878151
GA,Georgia,13005,Bacon County,31.55021,-82.451433
GA,Georgia,13007,Baker County,31.31958,-84.454881
GA,Georgia,13009,Baldwin County,33.05949,-83.255457
GA,Georgia,13011,Banks County,34.351922,-83.498441
GA,Georgia,13013,Barrow County,33.992009,-83.712303
GA,Georgia,13015,Bartow County,34.240917,-84.838188
GA,Georgia,13017,Ben Hill County,31.740772,-83.147197
GA,Georgia,13019,Berrien County,31.288652,-83.22787
GA,Georgia,13021,Bibb County,32.808845,-83.694194
GA,Georgia,13023,Bleckley County,32.435403,-83.331717
GA,Georgia,13025,Brantley County,31.197334,-81.982978
GA,Georgia,13027,Brooks County,30.822934,-83.581905
GA,Georgia,13029,Bryan County,32.017969,-81.438543
GA,Georgia,13031,Bulloch County,32.394481,-81.741618
GA,Georgia,13033,Burke County,33.060181,-82.000164
GA,Georgia,13035,Butts County,33.290355,-83.958221
GA,Georgia,13037,Calhoun County,31.521279,-84.62629
GA,Georgia,13039,Camden County,30.913358,-81.642019
GA,Georgia,13043,Candler County,32.40395,-82.071266
GA,Georgia,13045,Carroll County,33.582237,-85.080527
GA,Georgia,13047,Catoosa County,34.900212,-85.139385
GA,Georgia,13049,Charlton County,30.779904,-82.139644
GA,Georgia,13051,Chatham County,31.980404,-81.085184
GA,Georgia,13053,Chattahoochee County,32.347445,-84.788021
GA,Georgia,13055,Chattooga County,34.474178,-85.345289
GA,Georgia,13057,Cherokee County,34.244317,-84.475057
GA,Georgia,13059,Clarke County,33.952185,-83.367152
GA,Georgia,13061,Clay County,31.619831,-84.992583
GA,Georgia,13063,Clayton County,33.551603,-84.412868
GA,Georgia,13065,Clinch County,30.917653,-82.702614
GA,Georgia,13067,Cobb County,33.939926,-84.57411
GA,Georgia,13069,Coffee County,31.549245,-82.84494
GA,Georgia,13071,Colquitt County,31.189707,-83.769773
GA,Georgia,13073,Columbia County,33.552075,-82.249608
GA,Georgia,13075,Cook County,31.152516,-83.429445
GA,Georgia,13077,Coweta County,33.352897,-84.762138
GA,Georgia,13079,Crawford County,32.709428,-83.979187
GA,Georgia,13081,Crisp County,31.920268,-83.75653
GA,Georgia,13083,Dade County,34.852424,-85.506201
GA,Georgia,13085,Dawson County,34.442608,-84.173261
GA,Georgia,13087,Decatur County,30.880643,-84.58389
GA,Georgia,13089,DeKalb County,33.770661,-84.226343
GA,Georgia,13091,Dodge County,32.164369,-83.167866
GA,Georgia,13093,Dooly County,32.151995,-83.807167
GA,Georgia,13095,Dougherty County,31.532588,-84.20904
GA,Georgia,13097,Douglas County,33.701242,-84.767314
GA,Georgia,13099,Early County,31.324191,-84.906723
GA,Georgia,13101,Echols County,30.714008,-82.897376
GA,Georgia,13103,Effingham County,32.361688,-81.343355
GA,Georgia,13105,Elbert County,34.116415,-82.841892
GA,Georgia,13107,Emanuel County,32.5911,-82.299763
GA,Georgia,13109,Evans County,32.153083,-81.890153
GA,Georgia,13111,Fannin County,34.866543,-84.317331
GA,Georgia,13113,Fayette County,33.412717,-84.493941
GA,Georgia,13115,Floyd County,34.26369,-85.213685
GA,Georgia,13117,Forsyth County,34.225143,-84.127408
GA,Georgia,13119,Franklin County,34.375266,-83.227532
GA,Georgia,13121,Fulton County,33.790034,-84.468182
GA,Georgia,13123,Gilmer County,34.690523,-84.454811
GA,Georgia,13125,Glascock County,33.227491,-82.606913
GA,Georgia,13127,Glynn County,31.21271,-81.49645
GA,Georgia,13129,Gordon County,34.509667,-84.873862
GA,Georgia,13131,Grady County,30.8759,-84.244965
GA,Georgia,13133,Greene County,33.576704,-83.166625
GA,Georgia,13135,Gwinnett County,33.958756,-84.025735
GA,Georgia,13137,Habersham County,34.634392,-83.525875
GA,Georgia,13139,Hall County,34.317569,-83.8185
GA,Georgia,13141,Hancock County,33.26922,-83.000465
GA,Georgia,13143,Haralson County,33.795165,-85.220063
GA,Georgia,13145,Harris County,32.731549,-84.912432
GA,Georgia,13147,Hart County,34.348733,-82.96329
GA,Georgia,13149,Heard County,33.291347,-85.137886
GA,Georgia,13151,Henry County,33.452947,-84.154021
GA,Georgia,13153,Houston County,32.458147,-83.662309
GA,Georgia,13155,Irwin County,31.604306,-83.277037
GA,Georgia,13157,Jackson County,34.130905,-83.562557
GA,Georgia,13159,Jasper County,33.316981,-83.689151
GA,Georgia,13161,Jeff Davis County,31.811615,-82.636825
GA,Georgia,13163,Jefferson County,33.058176,-82.420004
GA,Georgia,13165,Jenkins County,32.794563,-81.971524
GA,Georgia,13167,Johnson County,32.694584,-82.66397
GA,Georgia,13169,Jones County,33.021664,-83.562196
GA,Georgia,13171,Lamar County,33.07444,-84.146689
GA,Georgia,13173,Lanier County,31.038197,-83.063164
GA,Georgia,13175,Laurens County,32.39322,-82.926317
GA,Georgia,13177,Lee County,31.818419,-84.146681
GA,Georgia,13179,Liberty County,31.807458,-81.457871
GA,Georgia,13181,Lincoln County,33.792151,-82.448299
GA,Georgia,13183,Long County,31.749563,-81.74287
GA,Georgia,13185,Lowndes County,30.833145,-83.268995
GA,Georgia,13187,Lumpkin County,34.56814,-83.998925
GA,Georgia,13189,McDuffie County,33.480613,-82.479533
GA,Georgia,13191,McIntosh County,31.485629,-81.372141
GA,Georgia,13193,Macon County,32.362686,-84.051231
GA,Georgia,13195,Madison County,34.12748,-83.208653
GA,Georgia,13197,Marion County,32.359312,-84.528735
GA,Georgia,13199,Meriwether County,33.029267,-84.667058
GA,Georgia,13201,Miller County,31.162931,-84.730398
GA,Georgia,13205,Mitchell County,31.228997,-84.192038
GA,Georgia,13207,Monroe County,33.018784,-83.921837
GA,Georgia,13209,Montgomery County,32.172108,-82.533349
GA,Georgia,13211,Morgan County,33.598696,-83.499435
GA,Georgia,13213,Murray County,34.797097,-84.73799
GA,Georgia,13215,Muscogee County,32.510197,-84.874946
GA,Georgia,13217,Newton County,33.552751,-83.85136
GA,Georgia,13219,Oconee County,33.834125,-83.437728
GA,Georgia,13221,Oglethorpe County,33.866806,-83.074081
